family,subsector,mass_prefix,spansh_max,edsm_confirmed_max,edsm_confirmed_system,steps_extended,terminated_at_step,chain_status
Syreadiae AC-J,AC-J,d10,0,1,Syreadiae AC-J d10-1,1,2,terminated
Syreadiae AR-T,AR-T,d4,0,1,Syreadiae AR-T d4-1,1,2,terminated
Syreadiae DZ-D,DZ-D,d13,1,2,Syreadiae DZ-D d13-2,1,2,terminated
Syreadiae ID-Z,ID-Z,d1,3,4,Syreadiae ID-Z d1-4,1,2,terminated
Syreadiae JY-Y,JY-Y,d1,1,2,Syreadiae JY-Y d1-2,1,2,terminated
Syreadiae MK-M,MK-M,d8,0,1,Syreadiae MK-M d8-1,1,2,terminated
Syreadiae UA-L,UA-L,d9,0,1,Syreadiae UA-L d9-1,1,2,terminated
Syreadiae WX-F,WX-F,d12,1,2,Syreadiae WX-F d12-2,1,2,terminated
Syreadiae ZQ-T,ZQ-T,d4,0,1,Syreadiae ZQ-T d4-1,1,2,terminated
